LADCD,FRACD,YEAR
E07000111,E31000022,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000003,E31000040,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000072,E31000015,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000052,E31000047,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000112,E31000022,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000153,E31000028,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000031,E31000005,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000004,E31000040,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000073,E31000015,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000053,E31000047,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000008,E31000005,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000154,E31000028,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000113,E31000022,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000005,E31000040,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000074,E31000015,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
W06000001,W25000001,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000009,E31000005,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000155,E31000028,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000114,E31000022,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000006,E31000040,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000075,E31000015,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
W06000002,W25000001,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000010,E31000005,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000156,E31000028,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000115,E31000022,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000007,E31000040,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000076,E31000015,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
W06000003,W25000001,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000011,E31000005,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000057,E31000029,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000116,E31000022,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000008,E31000040,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000077,E31000015,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
W06000004,W25000001,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000012,E31000005,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000018,E31000030,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000008,E31000023,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000009,E31000040,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000078,E31000016,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
W06000005,W25000001,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000170,E31000030,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000006,E31000006,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000009,E31000023,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000171,E31000030,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
W06000006,W25000001,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000007,E31000006,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000010,E31000040,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000079,E31000016,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000117,E31000023,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
W06000008,W25000002,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000172,E31000030,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000011,E31000041,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000049,E31000006,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000080,E31000016,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000118,E31000023,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
W06000009,W25000002,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000050,E31000006,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000012,E31000041,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
